,time,departure,arrival,remain_seat,total_seat,company,grade
0,06 : 10,센트럴시티(서울),순천,25,28,(주)천일고속,우등
1,06 : 50,센트럴시티(서울),순천,19,21,금호고속(주),프리미엄
2,07 : 30,센트럴시티(서울),순천,25,28,금호고속(주),우등
3,08 : 10,센트럴시티(서울),순천,37,45,금호고속(주),고속
4,08 : 50,센트럴시티(서울),순천,28,28,(주)천일고속,우등
5,09 : 30,센트럴시티(서울),순천,17,21,(주)천일고속,프리미엄
6,10 : 10,센트럴시티(서울),순천,19,28,금호고속(주),우등
7,11 : 40,센트럴시티(서울),순천,19,21,금호고속(주),프리미엄
8,12 : 30,센트럴시티(서울),순천,22,28,(주)천일고속,우등
9,13 : 10,센트럴시티(서울),순천,22,28,금호고속(주),우등
10,14 : 00,센트럴시티(서울),순천,18,21,(주)천일고속,프리미엄
11,14 : 40,센트럴시티(서울),순천,18,28,(주)천일고속,우등
12,15 : 20,센트럴시티(서울),순천,39,45,(주)천일고속,고속
13,16 : 30,센트럴시티(서울),순천,18,21,금호고속(주),프리미엄
14,17 : 05,센트럴시티(서울),순천,22,28,(주)천일고속,우등
15,18 : 20,센트럴시티(서울),순천,10,21,(주)천일고속,프리미엄
16,20 : 10,센트럴시티(서울),순천,23,28,(주)천일고속,우등
17,22 : 50,센트럴시티(서울),순천,17,21,금호고속(주),심야프리미엄
18,23 : 50,센트럴시티(서울),순천,27,28,(주)천일고속,심야우등
19,06 : 40,수원,순천,17,28,금호고속(주),우등
20,11 : 40,수원,순천,6,28,(주)동양고속,우등
21,16 : 40,수원,순천,33,40,(주)경기고속,고속
22,18 : 40,수원,순천,10,28,(주)경기고속,우등
23,09 : 00,부산,순천,16,28,(주)천일고속,우등
24,13 : 00,부산,순천,24,28,(주)천일고속,우등
25,17 : 00,부산,순천,20,28,(주)천일고속,우등
26,20 : 50,부산,순천,20,28,(주)천일고속,우등
27,11 : 40,서부산(사상),순천,29,40,금호고속(주),고속
28,13 : 50,서부산(사상),순천,16,28,금호고속(주),우등
29,16 : 25,서부산(사상),순천,11,28,금호고속(주),우등
30,22 : 10,서부산(사상),순천,27,28,금호고속(주),심야우등
31,10 : 00,동대구,순천,12,28,(주)한일고속,우등
32,12 : 30,동대구,순천,17,28,(주)한일고속,우등
33,19 : 30,동대구,순천,18,28,(주)한일고속,우등
34,10 : 00,서대구,순천,12,28,(주)한일고속,우등
35,12 : 30,서대구,순천,17,28,(주)한일고속,우등
36,19 : 30,서대구,순천,18,28,(주)한일고속,우등
37,06 : 40,인천,순천,27,28,금호고속(주),우등
38,11 : 20,인천,순천,17,28,금호고속(주),우등
39,15 : 00,인천,순천,26,28,(주)한일고속,우등
