,arrival,total,remain,reserved,region
0,광주(유·스퀘어),681,578,103,광주
1,대구북부,784,643,141,대구
2,대구서부,1435,1132,303,대구
3,동대구,728,613,115,대구
4,동서울,1799,1388,411,서울
5,부산동래,792,792,0,부산
6,부산동부,1674,1355,319,부산
7,부산서부(사상),924,660,264,부산
8,부산해운대(수도권),952,676,276,부산
9,서울남부,1196,753,443,서울
10,송도환승센터,0,0,0,인천
11,인천,1978,1888,90,인천
12,해운대,336,235,101,부산
13,현풍,416,231,185,서울
14,강릉시외터미널,3194,2006,1188,강릉
15,속초,2062,1313,749,속초
16,양양,609,338,271,양양
17,춘천,2442,1940,502,춘천
18,평창,235,164,71,평창
19,홍천,2841,2366,475,홍천
20,횡성,1885,1556,329,횡성
21,거제(고현),2480,1836,644,거제
22,장승포,743,570,173,거제
23,창원,1845,1556,289,창원
24,창원남산,410,410,0,창원
25,창원역,0,0,0,창원
26,통영,2490,1930,560,통영
27,경주,3476,3052,424,경주
28,경주고속,84,32,52,경주
29,포항,3748,3177,571,포항
30,동광양,1096,872,224,광양
31,목포,1275,1157,118,목포
32,순천,1348,1052,296,순천
33,신대지구(순천),163,89,74,순천
34,여수,643,355,288,여수
35,전주시외터미널,3186,2598,588,전주
36,군산,2560,2071,489,군산
37,군산고속,0,0,0,군산
